date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-08 00:00:00,55.0,1,0,1,40894.547,37595.379,0.0
2019-01-08 01:00:00,55.0,1,1,1,39731.585,36246.587,0.0
2019-01-08 02:00:00,53.1,1,2,1,39302.356,35429.872,0.0
2019-01-08 03:00:00,53.1,1,3,1,39129.267,35011.561,0.0
2019-01-08 04:00:00,53.1,1,4,1,39169.129,35128.803,0.0
2019-01-08 05:00:00,53.1,1,5,1,39911.352,35794.553,0.0
2019-01-08 06:00:00,53.1,1,6,1,41189.341,36643.064,980.0325555555536
2019-01-08 07:00:00,53.1,1,7,1,42730.546,37902.84,1323.700814814816
2019-01-08 08:00:00,52.0,1,8,1,43694.432,38654.614,763.1511111111176
2019-01-08 09:00:00,52.0,1,9,1,43972.764,39803.744,23.852000000013504
2019-01-08 10:00:00,54.0,1,10,1,43673.311,41145.456,0.0
2019-01-08 11:00:00,55.9,1,11,1,43196.979,42216.627,0.0
2019-01-08 12:00:00,59.0,1,12,1,42948.53,42861.6,0.0
2019-01-08 13:00:00,61.0,1,13,1,42348.633,42930.324,0.0
2019-01-08 14:00:00,62.1,1,14,1,42004.55,43156.846,0.0
2019-01-08 15:00:00,57.9,1,15,1,42035.176,43427.543,0.0
2019-01-08 16:00:00,57.0,1,16,1,43214.29,44272.221,0.0
2019-01-08 17:00:00,51.1,1,17,1,46272.405,46270.223,0.0
2019-01-08 18:00:00,48.0,1,18,1,48099.46,46891.033,188.4735925925997
2019-01-08 19:00:00,46.0,1,19,1,48152.739,46571.415,355.30577777777944
2019-01-08 20:00:00,45.0,1,20,1,47926.503,46003.906,500.72981481482566
2019-01-08 21:00:00,43.0,1,21,1,46885.992,45067.898,638.9260740740792
2019-01-08 22:00:00,42.1,1,22,1,45104.095,43484.002,523.4519629629649
2019-01-08 23:00:00,41.0,1,23,1,43394.166,41529.086,484.7043703703748
2019-01-09 00:00:00,42.1,1,0,2,42115.821,40295.685,881.1282222222217
2019-01-09 01:00:00,41.0,1,1,2,41509.086,39584.985,1062.2791851851798
2019-01-09 02:00:00,41.0,1,2,2,41355.174,39220.115,1546.6601481481484
2019-01-09 03:00:00,39.9,1,3,2,41303.375,39242.388,1994.41855555556
2019-01-09 04:00:00,37.9,1,4,2,42155.436,40122.308,2518.960666666673
2019-01-09 05:00:00,36.0,1,5,2,44515.179,42198.194,3727.392851851851
