date,netload,tmp,month,hour,dayofweek,mw_2,mw_7
2015-01-08 00:00:00,62703.51,-18.9,1,0,3,54253.358,49769.768
2015-01-08 01:00:00,61831.47900000001,-19.3,1,1,3,52894.746,48714.914
2015-01-08 02:00:00,61662.224,-19.7,1,2,3,52217.36,47880.328
2015-01-08 03:00:00,61596.448,-20.2,1,3,3,52040.692,47380.142
2015-01-08 04:00:00,62540.295,-20.6,1,4,3,52576.307,47241.559
2015-01-08 05:00:00,64472.776,-21.0,1,5,3,54699.956,47893.67
2015-01-08 06:00:00,67440.787,-21.4,1,6,3,58143.52,48746.046
2015-01-08 07:00:00,70091.593,-21.7,1,7,3,60913.779,49499.125
2015-01-08 08:00:00,70287.3544171,-21.9,1,8,3,60031.88832400001,49501.103
2015-01-08 09:00:00,69045.6502581,-22.1,1,9,3,57231.60081,49377.271941005
2015-01-08 10:00:00,66274.34346199999,-22.2,1,10,3,58695.600902000006,49262.0756284
2015-01-08 11:00:00,65087.808169,-22.3,1,11,3,54532.54822599999,48700.9660739
2015-01-08 12:00:00,66852.336903,-22.2,1,12,3,56995.638715,45708.934344
2015-01-08 13:00:00,65335.362199,-21.9,1,13,3,54383.065062,45499.11209
2015-01-08 14:00:00,66236.5109292,-21.0,1,14,3,55722.19643,46081.8823402
2015-01-08 15:00:00,66006.27143739999,-19.7,1,15,3,55582.51097,46080.8153877
2015-01-08 16:00:00,66674.92155048999,-18.2,1,16,3,58929.7783375,47499.07388004
2015-01-08 17:00:00,69130.40299999999,-16.9,1,17,3,62876.007000000005,51102.686
2015-01-08 18:00:00,70478.216,-15.5,1,18,3,64773.38,52626.108
2015-01-08 19:00:00,69731.00200000001,-14.5,1,19,3,64662.077000000005,52271.665
2015-01-08 20:00:00,68448.942,-13.1,1,20,3,64018.551,51473.197
2015-01-08 21:00:00,66352.04,-12.3,1,21,3,62321.955,50148.721
2015-01-08 22:00:00,63263.257000000005,-11.9,1,22,3,59798.451,48345.471
2015-01-08 23:00:00,60213.901,-11.3,1,23,3,57171.776,46438.412
2015-01-09 00:00:00,57483.432,-11.3,1,0,4,54921.369000000006,44666.40900000001
2015-01-09 01:00:00,56151.16099999999,-10.9,1,1,4,53773.069,43571.356
2015-01-09 02:00:00,55354.613,-10.3,1,2,4,53383.381,42845.568
2015-01-09 03:00:00,55031.488,-9.5,1,3,4,53530.69,42552.627
2015-01-09 04:00:00,55522.391,-8.4,1,4,4,54399.943,43132.541
2015-01-09 05:00:00,57291.926,-5.4,1,5,4,56784.949,44757.32
2015-01-09 06:00:00,60688.14599999999,-3.6,1,6,4,60509.309,47324.062000000005
2015-01-09 07:00:00,63432.451,-4.6,1,7,4,63727.827000000005,50003.067
2015-01-09 08:00:00,62501.220972,-5.8,1,8,4,63541.1684623,50973.33734301999
2015-01-09 09:00:00,62832.93075769999,-7.4,1,9,4,63722.970661900006,49887.277898
2015-01-09 10:00:00,56943.271809,-8.6,1,10,4,61332.195691,49550.215585
2015-01-09 11:00:00,55043.75150500001,-8.8,1,11,4,60929.23908400001,46744.705698
2015-01-09 12:00:00,54187.34841,-9.2,1,12,4,61472.386026,45476.526933
2015-01-09 13:00:00,54025.906606,-9.4,1,13,4,61717.221209,42439.620498
2015-01-09 14:00:00,54643.725604,-9.5,1,14,4,60298.684847,43145.083423
2015-01-09 15:00:00,56138.216064,-9.7,1,15,4,61985.237303,44749.060925
2015-01-09 16:00:00,59294.26603499999,-10.0,1,16,4,64943.89275439999,47905.187128
2015-01-09 17:00:00,63997.652,-10.3,1,17,4,68664.215,52452.137
2015-01-09 18:00:00,66094.4,-9.8,1,18,4,71053.87700000001,53739.273
2015-01-09 19:00:00,65968.19,-10.0,1,19,4,71090.7,53176.067
2015-01-09 20:00:00,65490.225,-9.6,1,20,4,70590.6,52556.384000000005
2015-01-09 21:00:00,64489.989,-10.4,1,21,4,69240.186,51501.033
2015-01-09 22:00:00,62668.34,-10.6,1,22,4,66891.216,49508.015
2015-01-09 23:00:00,60258.368,-11.1,1,23,4,64477.44,47128.765
2015-01-10 00:00:00,58627.485,-11.5,1,0,5,62703.51,44930.264
2015-01-10 01:00:00,57535.583,-12.4,1,1,5,61831.47900000001,43445.207
2015-01-10 02:00:00,57216.368,-13.6,1,2,5,61662.224,42570.631
2015-01-10 03:00:00,57344.478,-14.6,1,3,5,61596.448,42259.511
2015-01-10 04:00:00,57900.627,-15.3,1,4,5,62540.295,42307.049000000006
2015-01-10 05:00:00,59093.291,-15.9,1,5,5,64472.776,43088.871
2015-01-10 06:00:00,60762.37,-16.8,1,6,5,67440.787,44126.002
2015-01-10 07:00:00,62809.995,-17.8,1,7,5,70091.593,45725.297
2015-01-10 08:00:00,63313.0746358,-18.5,1,8,5,70287.3544171,45496.049968
2015-01-10 09:00:00,59511.387025,-19.1,1,9,5,69045.6502581,43905.266897
2015-01-10 10:00:00,57959.851304,-19.5,1,10,5,66274.34346199999,43067.52299699999
2015-01-10 11:00:00,55330.531805,-19.8,1,11,5,65087.808169,42110.808491
2015-01-10 12:00:00,54755.221525,-20.0,1,12,5,66852.336903,41413.12560099999
2015-01-10 13:00:00,55759.533518,-19.6,1,13,5,65335.362199,41503.56509599999
2015-01-10 14:00:00,55284.2304264,-18.2,1,14,5,66236.5109292,42302.756642
2015-01-10 15:00:00,54998.2852352,-16.5,1,15,5,66006.27143739999,43903.12603
2015-01-10 16:00:00,56537.1667925,-15.2,1,16,5,66674.92155048999,46740.161396
2015-01-10 17:00:00,59676.231,-13.4,1,17,5,69130.40299999999,50069.42
2015-01-10 18:00:00,61763.892,-11.8,1,18,5,70478.216,50155.77099999999
2015-01-10 19:00:00,61710.636,-10.6,1,19,5,69731.00200000001,49298.576
2015-01-10 20:00:00,61250.542,-9.8,1,20,5,68448.942,48128.383
